,mean_acc,mean_iou,class_accuracies,overall_acc
Background,0.11220666347274356,0.027157457368568654,0.131,0.0915896
Fels,0.11220666347274356,0.027157457368568654,0.026,0.0915896
Fels locker,0.11220666347274356,0.027157457368568654,0.0,0.0915896
Felsbloecke,0.11220666347274356,0.027157457368568654,0.0,0.0915896
Felsbloecke locker,0.11220666347274356,0.027157457368568654,,0.0915896
Fliessgewaesser,0.11220666347274356,0.027157457368568654,0.017,0.0915896
Gletscher,0.11220666347274356,0.027157457368568654,0.023,0.0915896
Lockergestein,0.11220666347274356,0.027157457368568654,0.195,0.0915896
Lockergestein locker,0.11220666347274356,0.027157457368568654,0.53,0.0915896
Wald,0.11220666347274356,0.027157457368568654,0.088,0.0915896
