,test_mean_acc,test_mean_iou,test_class_accuracies,test_overall_acc
Background,0.5940208223818559,0.5238631009150042,0.0,0.8804468114884441
Fels,0.5940208223818559,0.5238631009150042,0.869,0.8804468114884441
Fels locker,0.5940208223818559,0.5238631009150042,0.364,0.8804468114884441
Felsbloecke,0.5940208223818559,0.5238631009150042,0.497,0.8804468114884441
Felsbloecke locker,0.5940208223818559,0.5238631009150042,0.15,0.8804468114884441
Fliessgewaesser,0.5940208223818559,0.5238631009150042,0.928,0.8804468114884441
Gletscher,0.5940208223818559,0.5238631009150042,0.933,0.8804468114884441
Lockergestein,0.5940208223818559,0.5238631009150042,0.86,0.8804468114884441
Lockergestein locker,0.5940208223818559,0.5238631009150042,0.369,0.8804468114884441
Wald,0.5940208223818559,0.5238631009150042,0.969,0.8804468114884441
